Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,Number Of Coal Plants,Capacity Of The Coal Plant(MegaWatt),Daily Requirement(Tonne),Domestic Stock (Tonne),Imported Stock (Tonne),Normative Stock (Tonne),Percentage Of Actual Stock Vis-A-Vis Normative Stock,Total Stock,Stock Surplus/Deficit,Days of Stock Available,Domestic Dependency,Import Dependency,Risk Category
2026,2026-02-08,DCB,Pithead,18,41640.00,582.55,8735.90,0.00,9903.00,88%,8735.90,-1167.10,15.00,100.00%,0.00%,Low Buffer
2026,2026-02-08,ICB,Non-Pithead,17,18713.00,192.27,209.30,3993.70,4998.80,84%,4203.00,-795.80,21.86,4.98%,95.02%,Moderate
2026,2026-02-07,DCB,Pithead,18,41640.00,582.55,8675.00,0.00,9903.00,87%,8675.00,-1228.00,14.89,100.00%,0.00%,Low Buffer
2026,2026-02-07,ICB,Non-Pithead,17,18713.00,192.27,216.60,4000.40,4998.80,84%,4217.00,-781.80,21.93,5.14%,94.86%,Moderate
2026,2026-02-06,DCB,Pithead,18,41640.00,582.55,8657.40,0.00,9903.00,87%,8657.40,-1245.60,14.86,100.00%,0.00%,Low Buffer
2026,2026-02-06,ICB,Non-Pithead,17,18713.00,192.27,215.30,3948.70,4998.80,83%,4164.00,-834.80,21.66,5.17%,94.83%,Moderate
2026,2026-02-05,DCB,Pithead,18,41640.00,582.55,8591.30,0.00,9903.00,86%,8591.30,-1311.70,14.75,100.00%,0.00%,Low Buffer
2026,2026-02-05,ICB,Non-Pithead,17,18713.00,192.27,215.10,3898.30,4998.80,82%,4113.40,-885.40,21.39,5.23%,94.77%,Moderate
2026,2026-02-04,DCB,Pithead,18,41640.00,582.55,8531.80,0.00,9903.00,86%,8531.80,-1371.20,14.65,100.00%,0.00%,Low Buffer
2026,2026-02-04,ICB,Non-Pithead,17,18713.00,192.27,223.60,3822.20,4998.80,80%,4045.80,-953.00,21.04,5.53%,94.47%,Moderate
2026,2026-02-03,DCB,Pithead,18,41640.00,582.55,8496.70,0.00,9903.00,85%,8496.70,-1406.30,14.59,100.00%,0.00%,Low Buffer
2026,2026-02-03,ICB,Non-Pithead,17,18713.00,192.27,214.30,3758.60,4998.80,79%,3972.90,-1025.90,20.66,5.39%,94.61%,Moderate
2026,2026-02-02,DCB,Pithead,18,41640.00,582.55,8471.10,0.00,9903.00,85%,8471.10,-1431.90,14.54,100.00%,0.00%,Low Buffer
2026,2026-02-02,ICB,Non-Pithead,17,18713.00,192.27,202.70,3672.70,4998.80,77%,3875.40,-1123.40,20.16,5.23%,94.77%,Moderate
2026,2026-02-01,DCB,Pithead,18,41640.00,582.55,8433.00,0.00,9903.00,85%,8433.00,-1470.00,14.48,100.00%,0.00%,Low Buffer
2026,2026-02-01,ICB,Non-Pithead,17,18713.00,192.27,196.40,3651.60,4998.80,76%,3848.00,-1150.80,20.01,5.10%,94.90%,Moderate
2026,2026-01-31,DCB,Pithead,18,41640.00,582.55,8350.80,0.00,9320.80,89%,8350.80,-970.00,14.33,100.00%,0.00%,Low Buffer
2026,2026-01-31,ICB,Non-Pithead,17,18713.00,192.27,197.40,3644.60,4614.50,83%,3842.00,-772.50,19.98,5.14%,94.86%,Moderate
2026,2026-01-30,DCB,Pithead,18,41640.00,582.55,8391.40,0.00,9320.80,90%,8391.40,-929.40,14.40,100.00%,0.00%,Low Buffer
2026,2026-01-30,ICB,Non-Pithead,17,18713.00,192.27,199.40,3518.50,4614.50,80%,3717.90,-896.60,19.34,5.36%,94.64%,Moderate
2026,2026-01-29,DCB,Pithead,18,41640.00,582.55,8459.40,0.00,9320.80,90%,8459.40,-861.40,14.52,100.00%,0.00%,Low Buffer
2026,2026-01-29,ICB,Non-Pithead,17,18713.00,192.27,205.60,3416.90,4614.50,78%,3622.50,-992.00,18.84,5.68%,94.32%,Moderate
2026,2026-01-28,DCB,Pithead,18,41640.00,582.55,8448.20,0.00,9320.80,90%,8448.20,-872.60,14.50,100.00%,0.00%,Low Buffer
2026,2026-01-28,ICB,Non-Pithead,17,18713.00,192.27,210.80,3360.20,4614.50,77%,3571.00,-1043.50,18.57,5.90%,94.10%,Moderate
2026,2026-01-27,DCB,Pithead,18,41640.00,582.55,8425.90,0.00,9320.80,90%,8425.90,-894.90,14.46,100.00%,0.00%,Low Buffer
2026,2026-01-27,ICB,Non-Pithead,17,18713.00,192.27,212.40,3326.60,4614.50,76%,3539.00,-1075.50,18.41,6.00%,94.00%,Moderate
2026,2026-01-26,DCB,Pithead,18,41640.00,582.55,8383.00,0.00,9320.80,89%,8383.00,-937.80,14.39,100.00%,0.00%,Low Buffer
2026,2026-01-26,ICB,Non-Pithead,17,18713.00,192.27,208.50,3293.00,4614.50,75%,3501.50,-1113.00,18.21,5.95%,94.05%,Moderate
2026,2026-01-25,DCB,Pithead,18,41640.00,582.55,8304.90,0.00,9320.80,89%,8304.90,-1015.90,14.26,100.00%,0.00%,Low Buffer
2026,2026-01-25,ICB,Non-Pithead,17,18713.00,192.27,211.00,3206.70,4614.50,74%,3417.70,-1196.80,17.78,6.17%,93.83%,Moderate
2026,2026-01-24,DCB,Pithead,18,41640.00,582.55,8201.20,0.00,9320.80,87%,8201.20,-1119.60,14.08,100.00%,0.00%,Low Buffer
2026,2026-01-24,ICB,Non-Pithead,17,18713.00,192.27,202.20,3158.20,4614.50,72%,3360.40,-1254.10,17.48,6.02%,93.98%,Moderate
2026,2026-01-23,DCB,Pithead,18,41640.00,582.55,8149.50,0.00,9320.80,87%,8149.50,-1171.30,13.99,100.00%,0.00%,Low Buffer
2026,2026-01-23,ICB,Non-Pithead,17,18713.00,192.27,191.90,3109.80,4614.50,71%,3301.70,-1312.80,17.17,5.81%,94.19%,Moderate
2026,2026-01-22,DCB,Pithead,18,41640.00,582.55,8062.00,0.00,9320.80,86%,8062.00,-1258.80,13.84,100.00%,0.00%,Low Buffer
2026,2026-01-22,ICB,Non-Pithead,17,18713.00,192.27,183.50,3063.90,4614.50,70%,3247.40,-1367.10,16.89,5.65%,94.35%,Moderate
2026,2026-01-21,DCB,Pithead,18,41640.00,582.55,8019.60,0.00,9320.80,86%,8019.60,-1301.20,13.77,100.00%,0.00%,Low Buffer
2026,2026-01-21,ICB,Non-Pithead,17,18713.00,192.27,187.90,3070.00,4614.50,70%,3257.90,-1356.60,16.94,5.77%,94.23%,Moderate
