Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,"Number Of Coal Plants (UOM:Number), Scaling Factor:1","Capacity Of The Coal Plant (UOM:MW(MegaWatt)), Scaling Factor:1","Daily Requirement (UOM:t(Tonne)), Scaling Factor:1000","Domestic Stock (UOM:t(Tonne)), Scaling Factor:1000","Imported Stock  (UOM:t(Tonne)), Scaling Factor:1000","Normative Stock (UOM:t(Tonne)), Scaling Factor:1000","Percentage Of Actual Stock Vis-A-Vis Normative Stock  (UOM:%(Percentage)), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2026",2026-02-08,DCB,Pithead,18,41640.0,582.55,8735.9,0.0,9903.0,88
"Calendar Year (Jan - Dec), 2026",2026-02-08,ICB,Non-Pithead,17,18713.0,192.27,209.3,3993.7,4998.8,84
"Calendar Year (Jan - Dec), 2026",2026-02-07,DCB,Pithead,18,41640.0,582.55,8675.0,0.0,9903.0,87
"Calendar Year (Jan - Dec), 2026",2026-02-07,ICB,Non-Pithead,17,18713.0,192.27,216.6,4000.4,4998.8,84
"Calendar Year (Jan - Dec), 2026",2026-02-06,DCB,Pithead,18,41640.0,582.55,8657.4,0.0,9903.0,87
"Calendar Year (Jan - Dec), 2026",2026-02-06,ICB,Non-Pithead,17,18713.0,192.27,215.3,3948.7,4998.8,83
"Calendar Year (Jan - Dec), 2026",2026-02-05,DCB,Pithead,18,41640.0,582.55,8591.3,0.0,9903.0,86
"Calendar Year (Jan - Dec), 2026",2026-02-05,ICB,Non-Pithead,17,18713.0,192.27,215.1,3898.3,4998.8,82
"Calendar Year (Jan - Dec), 2026",2026-02-04,DCB,Pithead,18,41640.0,582.55,8531.8,0.0,9903.0,86
"Calendar Year (Jan - Dec), 2026",2026-02-04,ICB,Non-Pithead,17,18713.0,192.27,223.6,3822.2,4998.8,80
"Calendar Year (Jan - Dec), 2026",2026-02-03,DCB,Pithead,18,41640.0,582.55,8496.7,0.0,9903.0,85
"Calendar Year (Jan - Dec), 2026",2026-02-03,ICB,Non-Pithead,17,18713.0,192.27,214.3,3758.6,4998.8,79
"Calendar Year (Jan - Dec), 2026",2026-02-02,DCB,Pithead,18,41640.0,582.55,8471.1,0.0,9903.0,85
"Calendar Year (Jan - Dec), 2026",2026-02-02,ICB,Non-Pithead,17,18713.0,192.27,202.7,3672.7,4998.8,77
"Calendar Year (Jan - Dec), 2026",2026-02-01,DCB,Pithead,18,41640.0,582.55,8433.0,0.0,9903.0,85
"Calendar Year (Jan - Dec), 2026",2026-02-01,ICB,Non-Pithead,17,18713.0,192.27,196.4,3651.6,4998.8,76
"Calendar Year (Jan - Dec), 2026",2026-01-31,DCB,Pithead,18,41640.0,582.55,8350.8,0.0,9320.8,89
"Calendar Year (Jan - Dec), 2026",2026-01-31,ICB,Non-Pithead,17,18713.0,192.27,197.4,3644.6,4614.5,83
"Calendar Year (Jan - Dec), 2026",2026-01-30,DCB,Pithead,18,41640.0,582.55,8391.4,0.0,9320.8,90
"Calendar Year (Jan - Dec), 2026",2026-01-30,ICB,Non-Pithead,17,18713.0,192.27,199.4,3518.5,4614.5,80
"Calendar Year (Jan - Dec), 2026",2026-01-29,DCB,Pithead,18,41640.0,582.55,8459.4,0.0,9320.8,90
"Calendar Year (Jan - Dec), 2026",2026-01-29,ICB,Non-Pithead,17,18713.0,192.27,205.6,3416.9,4614.5,78
"Calendar Year (Jan - Dec), 2026",2026-01-28,DCB,Pithead,18,41640.0,582.55,8448.2,0.0,9320.8,90
"Calendar Year (Jan - Dec), 2026",2026-01-28,ICB,Non-Pithead,17,18713.0,192.27,210.8,3360.2,4614.5,77
"Calendar Year (Jan - Dec), 2026",2026-01-27,DCB,Pithead,18,41640.0,582.55,8425.9,0.0,9320.8,90
"Calendar Year (Jan - Dec), 2026",2026-01-27,ICB,Non-Pithead,17,18713.0,192.27,212.4,3326.6,4614.5,76
"Calendar Year (Jan - Dec), 2026",2026-01-26,DCB,Pithead,18,41640.0,582.55,8383.0,0.0,9320.8,89
"Calendar Year (Jan - Dec), 2026",2026-01-26,ICB,Non-Pithead,17,18713.0,192.27,208.5,3293.0,4614.5,75
